cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2642674,1109315264.98,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1668340.0,""ARKQ"":552156.0,""ARKW"":353694.0,""ARKX"":68484.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1246013,687861476.65,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":550138.0,""ARKQ"":277328.0,""ARKW"":269085.0,""ARKF"":53721.0,""ARKX"":95741.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3327486,533795304.12,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1732078.0,""ARKQ"":779274.0,""ARKW"":328772.0,""ARKX"":487362.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8598921,521954504.70,2,ARKG|ARKK,"{""ARKK"":6355042.0,""ARKG"":2243879.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4366216,513248690.80,3,ARKF|ARKK|ARKW,"{""ARKK"":2957858.0,""ARKW"":957474.0,""ARKF"":450884.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7938052,491286038.28,2,ARKG|ARKK,"{""ARKK"":5890931.0,""ARKG"":2047121.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3673414,441323957.96,3,ARKF|ARKK|ARKW,"{""ARKK"":2416996.0,""ARKW"":648504.0,""ARKF"":607914.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3830830,382814841.90,2,ARKG|ARKK,"{""ARKK"":2393055.0,""ARKG"":1437775.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2865513,379795093.02,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1472617.0,""ARKQ"":586074.0,""ARKW"":356603.0,""ARKF"":250388.0,""ARKX"":199831.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2220284,374939359.08,3,ARKF|ARKK|ARKW,"{""ARKK"":1609000.0,""ARKW"":357180.0,""ARKF"":254104.0}"
023135106,AMZN,AMAZON.COM INC,equity,1439674,351510803.84,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":647404.0,""ARKQ"":266638.0,""ARKW"":258071.0,""ARKF"":116647.0,""ARKX"":150914.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,8262301,330492040.00,2,ARKG|ARKK,"{""ARKK"":5155865.0,""ARKG"":3106436.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,905525,330426072.50,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":347602.0,""ARKQ"":275667.0,""ARKW"":180040.0,""ARKX"":102216.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5460416,311407524.48,3,ARKF|ARKK|ARKW,"{""ARKK"":4005919.0,""ARKW"":1017625.0,""ARKF"":436872.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4413694,303000093.10,3,ARKF|ARKK|ARKW,"{""ARKK"":3135869.0,""ARKW"":780242.0,""ARKF"":497583.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8511723,300634056.36,2,ARKG|ARKK,"{""ARKK"":6359078.0,""ARKG"":2152645.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,14169003,252775013.52,2,ARKG|ARKK,"{""ARKK"":11236426.0,""ARKG"":2932577.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4388764,234974424.56,3,ARKK|ARKQ|ARKX,"{""ARKK"":1270578.0,""ARKQ"":2089940.0,""ARKX"":1028246.0}"
244199105,DE,DEERE & CO,equity,358806,227927923.44,3,ARKK|ARKQ|ARKX,"{""ARKK"":120602.0,""ARKQ"":148737.0,""ARKX"":89467.0}"
67066G104,NVDA,NVIDIA CORP,equity,1161890,227207589.50,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":518330.0,""ARKQ"":295627.0,""ARKW"":125745.0,""ARKF"":86893.0,""ARKX"":135295.0}"
880770102,TER,TERADYNE INC,equity,589719,223810154.88,3,ARKK|ARKQ|ARKX,"{""ARKK"":152652.0,""ARKQ"":344687.0,""ARKX"":92380.0}"
852234103,XYZ,BLOCK INC,equity,2778431,219273774.52,3,ARKF|ARKK|ARKW,"{""ARKK"":1571010.0,""ARKW"":636601.0,""ARKF"":570820.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,423004,191108977.16,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":139859.0,""ARKQ"":163362.0,""ARKW"":85672.0,""ARKX"":34111.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2175281,188074795.26,2,ARKK|ARKW,"{""ARKK"":1592407.0,""ARKW"":582874.0}"
452327109,ILMN,ILLUMINA INC,equity,915506,177910280.98,2,ARKG|ARKK,"{""ARKK"":530746.0,""ARKG"":384760.0}"
632307104,NTRA,NATERA INC,equity,617268,175180658.40,2,ARKG|ARKK,"{""ARKK"":359950.0,""ARKG"":257318.0}"
