trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,MAA,Mid-Amer Apt Cmntys Inc,59522J103,equity,0,644190,0,644190,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,PM,Philip Morris Intl Inc,718172109,equity,0,889355,0,889355,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,CPT,Camden Ppty Tr,133131102,equity,0,577915,0,577915,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,FLUT,Flutter Entmt Plc,G3643J108,equity,0,335076,0,335076,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,MELI,Mercadolibre Inc,58733R102,equity,0,36493,0,36493,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,GEV,Ge Vernova Inc,36828A101,equity,0,297068,0,297068,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,,Springworks Therapeutics Inc,85205L107,equity,0,1021367,0,1021367,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,ADBE,Adobe Inc,00724F101,equity,0,36685,0,36685,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,YPF,Ypf Sociedad Anonima,984245100,equity,0,638435,0,638435,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,LYV,Live Nation Entertainment In,538034109,equity,0,103100,0,103100,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,WULF,Terawulf Inc,88080T104,equity,0,2090000,0,2090000,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,SGI,Tempur Sealy Intl Inc,88023U101,equity,0,103100,0,103100,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,SE,Sea Ltd,81141R100,equity,0,66900,0,66900,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,EQT,Eqt Corp,26884L109,equity,0,121000,0,121000,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,BLDR,Builders Firstsource Inc,12008R107,equity,0,29385,0,29385,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,GPCR,Structure Therapeutics Inc,86366E106,equity,0,37700,0,37700,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,INSM,Insmed Inc,457669307,equity,0,20000,0,20000,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,new,IVVD,Invivyd Inc,00534A102,equity,0,571425,0,571425,,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,COHR,Coherent Corp,19247G107,equity,2525070,3589540,2525070,1064470,42.16,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,KMI,Kinder Morgan Inc Del,49456B101,equity,3880500,6753165,3880500,2872665,74.03,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,OPCH,Option Care Health Inc,68404L201,equity,686205,1871818,686205,1185613,172.78,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,STX,Seagate Technology Hldngs Pl,G7997R103,equity,1438983,1755278,1438983,316295,21.98,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,BCS,Barclays Plc,06738E204,equity,1051355,2075455,1051355,1024100,97.41,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,DAKT,Daktronics Inc,234264109,equity,2073444,2493605,2073444,420161,20.26,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,ARGT,Global X Fds,37950E259,equity,193900,282000,193900,88100,45.44,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,NTRA,Natera Inc,632307104,equity,1929380,1974880,1929380,45500,2.36,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,NVDA,Nvidia Corporation,67066G104,equity,175943,214060,175943,38117,21.66,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,GGAL,Grupo Financiero Galicia S.A,399909100,equity,321863,475763,321863,153900,47.82,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,BMA,Banco Macro Sa,05961W105,equity,208730,273130,208730,64400,30.85,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,MSGE,Madison Square Garden Entmt,558256103,equity,639800,694225,639800,54425,8.51,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,buy,TLSI,Trisalus Life Sciences Inc,89680M101,equity,315955,426921,315955,110966,35.12,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,sell,MSFT,Microsoft Corp,594918104,equity,1112270,400490,1112270,-711780,-63.99,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,sell,CPNG,Coupang Inc,22266T109,equity,22459850,10971140,22459850,-11488710,-51.15,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,sell,TECK,Teck Resources Ltd,878742204,equity,4552227,1453410,4552227,-3098817,-68.07,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,sell,ANET,Arista Networks Inc,040413106,equity,428252,52275,428252,-375977,-87.79,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,sell,NWSA,News Corp New,65249B109,equity,3312025,683800,3312025,-2628225,-79.35,1.000000
2024-03-31,2024-03-31,2024-06-30,Duquesne Family Office,sell,,Flex Ltd,Y2573F102,equity,3863155,1449155,3863155,-2414000,-62.49,1.000000
