rank,symbol,company,market_cap,sector,industry,ipo_year,price,pct_change,alt_symbols
1,NVDA,NVIDIA Corporation,4858150000000.0,Technology,Semiconductors,1999,200.75,2.928,
2,AAPL,Apple Inc.,4537071141960.0,Technology,Computer Manufacturing,1980,308.91,-7.354,
3,GOOG,Alphabet Inc.,4361829500000.0,Technology,Computer Software: Programming Data Processing,2004,356.65,6.884,GOOGL
4,MSFT,Microsoft Corporation,3450799500578.0,Technology,Computer Software: Prepackaged Software,1986,464.72,3.019,
5,AMZN,Amazon.com Inc.,2921415780629.0,Consumer Discretionary,Catalog/Specialty Distribution,1997,271.58,15.321,
6,AVGO,Broadcom Inc.,1852030819477.0,Technology,Semiconductors,2009,389.28,0.371,
7,SPCX,Space Exploration Technologies Corp.,1418655844187.0,Technology,Computer Software: Programming Data Processing,2026,108.37,-3.414,
8,META,Meta Platforms Inc.,1413165637570.0,Technology,Computer Software: Programming Data Processing,2012,556.71,3.28,
9,TSLA,Tesla Inc.,1229138644487.0,Industrials,Auto Manufacturing,2010,311.21,0.764,
10,BRK.B,Berkshire Hathaway Inc.,1128616518721.0,,,,511.54,0.365,BRK.A
11,LLY,Eli Lilly and Company,1081910196869.0,Health Care,Biotechnology: Pharmaceutical Preparations,,1148.84,-0.531,
12,JPM,JP Morgan Chase & Co.,942625321738.0,Finance,Major Banks,,351.79,0.268,
13,MU,Micron Technology Inc.,929524445068.0,Technology,Semiconductors,,823.03,-5.903,
14,WMT,Walmart Inc.,884938402036.0,Consumer Discretionary,Department/Specialty Retail Stores,,111.2,0.09,
15,AMD,Advanced Micro Devices Inc.,776410494260.0,Technology,Semiconductors,,476.15,-1.904,
16,V,Visa Inc.,654184690529.0,Consumer Discretionary,Business Services,,366.13,-0.038,
17,XOM,ExxonMobil Holdings Corporation,644290586861.0,Energy,Integrated oil Companies,,155.44,-0.975,
18,JNJ,Johnson & Johnson,617777505341.0,Health Care,Biotechnology: Pharmaceutical Preparations,,256.35,0.207,
19,MA,Mastercard Incorporated,506381907301.0,Consumer Discretionary,Business Services,2006,573.1,-0.736,
20,CSCO,Cisco Systems Inc.,457167006793.0,Telecommunications,Computer Communications Equipment,1990,115.99,2.14,
21,INTC,Intel Corporation,454968800000.0,Technology,Semiconductors,,90.2,-1.021,
22,ABBV,AbbVie Inc.,443358990502.0,Health Care,Biotechnology: Pharmaceutical Preparations,2012,250.94,-2.513,
23,BAC,Bank of America Corporation,439633790829.0,Finance,Major Banks,,61.95,0.356,
24,COST,Costco Wholesale Corporation,422143038740.0,Consumer Discretionary,Department/Specialty Retail Stores,,951.89,-0.239,
25,AMAT,Applied Materials Inc.,403069383828.0,Technology,Semiconductors,1972,507.67,1.176,
26,CVX,Chevron Corporation,392006181590.0,Energy,Integrated oil Companies,,196.83,2.35,
27,KO,The Coca-Cola Company,376860288194.0,Consumer Staples,Beverages (Production/Distribution),,87.59,-1.017,
28,UNH,UnitedHealth Group Incorporated,376335041018.0,Health Care,Medical Specialities,,414.4,-1.677,
29,CAT,Caterpillar Inc.,375331655155.0,Industrials,Construction/Ag Equipment/Trucks,,814.81,0.701,
30,ORCL,Oracle Corporation,374086768770.0,Technology,Computer Software: Prepackaged Software,1986,129.87,1.811,
31,GE,GE Aerospace,373595134056.0,Technology,Consumer Electronics/Appliances,,360.07,1.417,
32,LRCX,Lam Research Corporation,366442314420.0,Technology,Industrial Machinery/Components,1984,293.02,-1.579,
33,PG,The Procter & Gamble Company,336459266331.0,Consumer Discretionary,Package Goods/Cosmetics,,144.49,0.368,
34,MS,Morgan Stanley,331892271193.0,Finance,Investment Bankers/Brokers/Service,,210.42,0.171,
