symbol,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,screener_price,drift_pct,status
NVDA,200.7500,164.0700,236.5400,50.61,-15.13,22.36,200.7500,0.00,ok
AAPL,308.9100,201.6800,344.5700,75.04,-10.35,53.17,308.9100,0.00,ok
GOOG,356.6500,190.9200,404.4700,77.61,-11.82,86.81,356.6500,0.00,ok
MSFT,464.7200,349.2000,553.7200,56.48,-16.07,33.08,464.7200,0.00,ok
AMZN,271.5800,196.0000,278.5600,91.55,-2.51,38.56,271.5800,0.00,ok
AVGO,389.2800,281.8700,495.0000,50.40,-21.36,38.11,389.2800,0.00,ok
SPCX,108.3700,107.0100,225.6400,1.15,-51.97,1.27,108.3700,0.00,ok
META,556.7100,520.2600,796.2500,13.21,-30.08,7.01,556.7100,0.00,ok
TSLA,311.2100,297.3800,498.8300,6.87,-37.61,4.65,311.2100,0.00,ok
BRK.B,511.5400,455.1900,516.8500,91.39,-1.03,12.38,511.5400,0.00,ok
LLY,1148.8400,623.7800,1249.4500,83.92,-8.05,84.17,1148.8400,0.00,ok
JPM,351.7900,279.1000,359.3000,90.64,-2.09,26.04,351.7900,0.00,ok
MU,823.0300,105.4600,1255.0000,62.42,-34.42,680.42,823.0300,0.00,ok
WMT,111.2000,95.4200,135.1600,39.71,-17.73,16.54,111.2000,0.00,ok
AMD,476.1500,149.2200,584.7300,75.07,-18.57,219.09,476.1500,0.00,ok
V,366.1300,293.8900,373.9700,90.21,-2.10,24.58,366.1300,0.00,ok
XOM,155.4400,105.5300,176.4100,70.41,-11.89,47.29,155.4400,0.00,ok
JNJ,256.3500,166.6400,274.9000,82.87,-6.75,53.83,256.3500,0.00,ok
MA,573.1000,464.5200,601.7700,79.11,-4.76,23.37,573.1000,0.00,ok
CSCO,115.9900,65.7500,130.3700,77.75,-11.03,76.41,115.9900,0.00,ok
INTC,90.2000,19.3500,142.3500,57.60,-36.64,366.15,90.2000,0.00,ok
ABBV,250.9400,190.7500,267.4700,78.45,-6.18,31.55,250.9400,0.00,ok
