symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5155810000000.0,32.302,0.134,14.38,213.05
AAPL,4522736382000.0,35.079,0.344,14.3,309.9
GOOGL,4243320800000.0,17.376,0.242,10.99,346.96
GOOG,4199048200000.0,17.195,0.244,9.56,343.34
MSFT,3651214973380.0,27.299,0.747,2.32,491.71
AMZN,2815875021106.0,20.815,,13.1,261.06
TSM,2164886112340.0,31.085,0.676,37.91,417.41
SPCX,1818426543413.0,,,2.19,137.95
AVGO,1697219159835.0,57.892,0.705,3.45,356.74
META,1452205923561.0,21.325,0.372,-13.49,570.05
TSLA,1383328974749.0,363.651,,-22.12,350.25
SKHYV,1224566926550.0,24.506,,,168.01
SKHY,1162759132150.0,9.93,,-5.05,159.53
LLY,1161314556808.0,43.477,0.537,15.35,1233.66
BRK.B,1079602948396.0,12.587,,0.33,504.32
BRK.A,1078011606100.0,12.569,,0.07,755365.0
MU,1053689928088.0,20.878,0.058,227.08,932.97
JPM,948148433895.0,14.572,1.703,12.27,356.69
WMT,838622381354.0,37.988,0.918,-4.81,105.38
AMD,782249390626.0,121.581,,123.75,479.18
V,685470377051.0,30.341,0.708,10.19,384.14
ASML,669931856000.0,53.971,0.445,63.69,1744.16
XOM,660537537254.0,20.165,2.541,36.17,160.64
JNJ,658239702785.0,31.29,2.409,34.11,273.14
MA,525054077738.0,32.297,0.57,5.51,599.37
ABBV,469682103180.0,74.435,2.582,19.07,265.79
INTC,462428488320.0,,,137.07,87.48
CSCO,437932805628.0,33.009,1.509,46.35,111.11
BAC,436557280427.0,12.978,1.863,14.74,62.43
COST,425744086628.0,48.172,0.57,11.82,960.01
ORCL,416976981960.0,24.403,1.399,-25.01,144.76
PLTR,415080291250.0,137.595,,-2.82,172.73
CVX,394936919960.0,19.18,3.503,34.82,199.89
KO,394285612629.0,27.542,2.261,32.84,91.64
LRCX,393740665860.0,54.194,0.336,84.17,314.66
MRK,385989002765.0,121.648,2.241,50.81,156.45
AMAT,380958516538.0,41.109,0.409,87.46,480.04
CAT,372929640697.0,34.39,0.766,42.48,811.29
GE,362669600794.0,40.427,0.491,13.78,349.54
HSBC,358439788103.0,14.064,3.604,37.84,104.38
UNH,355977140372.0,25.207,2.268,21.76,396.59
NFLX,342400759557.0,25.085,0.0,-12.3,82.23
MS,340451655117.0,16.892,1.95,24.12,216.77
PG,337972566924.0,21.063,2.932,3.72,145.4
HD,336905784514.0,23.681,2.741,-0.41,337.88
GS,308315580503.0,14.701,1.679,21.63,1058.88
NVS,304076360103.0,23.836,1.971,18.31,159.98
PM,302246318091.0,27.795,3.069,22.99,193.92
DELL,293280081581.0,34.877,0.539,261.96,451.5
RY,287801022588.0,18.007,2.348,23.9,207.09
BABA,286282584456.0,26.149,0.87,-17.78,119.44
RTX,283406582520.0,36.625,1.345,15.9,210.28
PANW,277018500000.0,328.649,,84.53,339.9
AZN,263148324778.0,25.191,1.937,87.73,169.66
ARM,257986080000.0,247.113,,120.99,241.56
SHEL,256875495890.0,9.89,3.315,28.94,92.22
WFC,256404903699.0,11.34,2.223,-7.53,84.79
BHP,250741273733.0,25.5,2.705,66.66,98.69
SAP,250380606000.0,27.529,0.984,-9.57,216.93
MUFG,250215650570.0,19.998,1.976,42.09,22.23
GEV,246819319520.0,25.902,0.188,42.06,926.73
ANET,240818234289.0,59.541,,45.72,190.94
KLAC,239542287195.0,49.587,0.464,51.45,183.34
AMGN,239089097891.0,27.346,2.235,37.88,442.24
TXN,237490060744.0,39.242,2.185,52.41,260.05
TMO,232256757701.0,33.337,0.29,8.62,628.15
TM,228495910047.0,8.116,3.298,-8.6,192.95
AXP,226870338396.0,19.821,1.061,-8.45,335.95
LIN,224589535414.0,31.004,1.277,15.01,487.2
C,223518451335.0,12.53,1.933,15.92,133.25
IBM,220638452794.0,20.572,2.906,-19.33,234.19
SNDK,216812864111.0,18.964,,523.8,1480.77
NVO,215127325834.0,11.837,2.828,-0.99,48.66
SAN,212961343379.0,11.238,1.399,25.84,14.63
MRVL,210516732761.0,83.317,0.103,183.28,240.38
VZ,208777453901.0,12.91,5.621,29.57,50.25
ABT,200949496359.0,37.041,2.133,-5.59,116.13
SHOP,197988768102.0,102.691,,-4.4,153.88
TTE,197507953718.0,11.073,4.188,39.02,88.8
TD,196709712570.0,18.274,2.733,29.34,119.07
KOF,196469833072.0,138.969,3.273,25.79,116.9
APH,195773113302.0,38.063,0.585,17.9,158.78
TMUS,194807891637.0,18.448,2.225,-9.64,181.61
PEP,194183121957.0,18.58,3.981,1.07,142.27
SCHW,194152520611.0,19.231,1.094,13.49,112.27
DIS,192093917848.0,22.337,1.389,-1.47,111.25
MCD,189718694461.0,21.591,2.712,-11.19,268.1
CRWD,188764905326.0,,0.0,58.19,185.38
STX,186227001105.0,58.488,0.357,199.1,821.67
SCCO,185502307814.0,32.761,1.839,60.33,219.7
GILD,184468128409.0,,2.196,22.7,148.77
UNP,183919833426.0,25.091,1.779,35.23,309.59
BLK,182225364910.0,27.711,1.87,11.17,1176.64
ADI,181062731652.0,43.788,1.137,38.59,373.66
T,176585978201.0,8.191,4.414,7.47,25.77
NEE,175681084762.0,18.892,2.818,6.4,84.22
WELL,173807644934.0,112.085,1.248,31.32,241.15
DE,170238736451.0,34.935,1.001,36.21,630.66
QCOM,168625558356.0,18.21,2.302,-5.18,160.56
CRM,168460110000.0,20.997,0.88,-21.96,205.69
IBKR,167674288118.0,148.911,0.35,53.0,98.19
BA,166831303822.0,68.514,,-2.78,211.08
UBS,166038276740.0,17.441,2.076,20.16,54.23
UBER,164119705722.0,17.133,,-1.66,80.35
PFE,162839674438.0,37.581,6.142,20.66,28.57
WDC,162513830508.0,17.245,0.109,161.85,450.75
BBVA,161575870565.0,12.459,3.054,27.32,28.95
BKNG,160630123290.0,22.282,0.798,0.28,213.78
SMFG,159465898477.0,19.359,2.304,32.33,25.18
ETN,158933280000.0,41.508,1.062,29.55,409.2
COP,158384333231.0,17.064,2.557,43.94,131.84
BUD,155260759894.0,16.646,1.259,24.32,78.75
TJX,154084176128.0,24.693,1.288,-8.36,139.48
DHR,151823898082.0,37.918,0.672,-5.26,215.97
NEM,142395973503.0,16.563,0.797,35.93,135.14
RDS.A,142170085775.52,42.202,,,51.04
SONY,140784031294.0,,0.573,-5.79,24.05
UL,140354426462.0,12.972,3.415,2.18,65.15
VRTX,140125871833.0,31.809,,21.95,552.85
BMY,138741179436.0,14.947,3.713,30.17,67.92
PLD,135888789709.0,32.291,2.848,14.0,143.33
RIO,134051496264.0,11.077,4.437,40.21,106.81
COF,132659960937.0,12.61,1.504,-9.73,216.24
CB,132371789621.0,11.835,1.156,10.6,343.11
ISRG,131362905650.0,41.851,,-34.35,371.84
NOW,131300474000.0,78.623,0.0,-17.1,127.0
PGR,129056499000.0,11.035,6.261,3.82,222.09
LMT,128439669860.0,20.429,2.427,16.43,556.52
PH,128103303219.0,35.116,0.731,16.1,1016.31
SPGI,127645452000.0,25.928,0.904,-11.99,432.99
SYK,126805413277.0,34.005,1.06,-5.43,330.59
GLW,126761906790.0,66.717,0.767,68.64,147.16
MFG,126665604129.0,15.633,1.73,43.72,10.41
PDD,124903039541.0,9.114,,-22.61,87.75
ACN,124833888359.0,16.025,3.362,-28.48,186.93
BTI,122147954153.0,13.9,5.565,2.56,56.47
BMO,121494266732.0,17.293,2.831,36.85,173.46
HDB,121248431197.0,15.747,1.5,-34.36,23.63
SBUX,120566400000.0,60.806,2.305,27.87,105.76
LOW,120390600000.0,18.123,2.234,-9.63,214.6
CVS,118816347280.0,24.298,2.813,19.8,92.9
MDT,116657455672.0,24.299,3.073,-3.48,91.14
FCX,114752160263.0,38.965,0.771,58.46,79.91
ABNB,114068672421.0,42.389,,40.36,190.5
MO,113659469043.0,14.256,6.211,21.83,68.07
SPOT,113599664157.0,29.158,,-4.85,552.57
BNS,113497603360.0,16.465,3.713,30.35,93.1
AEM,113481429671.0,19.319,0.772,32.76,224.11
FTNT,112742439920.0,53.163,,93.5,153.66
ADP,112337956769.0,25.453,2.38,11.68,282.78
BP,112180133348.0,20.426,4.586,27.98,42.86
SNY,111745674445.0,24.197,4.421,-0.73,46.02
BNY,111037202838.0,17.628,1.386,42.72,163.65
SNOW,109879132000.0,,,44.52,317.02
IBN,109003091230.0,5.961,0.715,2.71,30.39
ADBE,108883200000.0,15.062,,-21.73,273.92
DHR.WD,108776501000.0,44.2807,,,150.55
ENB,108636413218.0,24.559,5.513,8.15,49.74
CM,108015817734.0,15.239,2.66,32.59,118.33
BX,107647147599.0,30.59,3.615,-4.04,143.41
EQIX,105918134620.0,69.092,1.907,42.24,1073.44
MCK,105524771648.0,22.98,0.392,10.55,905.09
GSK,105322281790.0,16.015,3.459,8.94,52.07
HWM,105299521392.0,56.28,0.191,28.98,264.04
APP,103922521540.0,23.565,,-53.91,310.54
SO,103498156051.0,22.219,3.255,5.71,89.97
CNQ,102229785000.0,12.047,3.51,49.47,49.59
GD,101886428493.0,22.707,1.609,13.33,376.58
MELI,101241513594.0,54.343,,-0.86,1997.0
DASH,101174535209.0,120.303,,3.1,233.5
