symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
TSLA,TESLA INC,NASDAQ,376.6450,297.3800,498.8300,39.35,-24.49,26.65,375.3000,0.36,1291595325.30,ARKK|ARKQ|ARKW|ARKX,ok
SPCX,SPACE EXPLORATION TECHN-CL A,NASDAQ,153.1450,104.8300,225.6400,39.99,-32.13,46.09,151.8500,0.85,932119684.40,ARKK|ARKQ|ARKW|ARKX,ok
TEM,TEMPUS AI INC-CL A,NASDAQ,77.1580,40.7700,104.3200,57.26,-26.04,89.25,78.0300,-1.12,749668231.08,ARKG|ARKK,ok
CRCL,CIRCLE INTERNET GROUP INC,NYSE,93.7400,49.9000,159.4700,40.01,-41.22,87.86,94.4900,-0.79,650444120.15,ARKF|ARKK|ARKW,ok
COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,198.5500,139.1100,402.1600,22.60,-50.63,42.73,201.0500,-1.24,584717534.95,ARKF|ARKK|ARKW,ok
CRSP,CRISPR THERAPEUTICS AG,NASDAQ,58.7400,44.1200,78.4800,42.55,-25.15,33.14,58.3300,0.70,573330294.73,ARKG|ARKK,ok
TWST,TWIST BIOSCIENCE CORP,NASDAQ,167.2400,23.3000,170.6600,97.68,-2.00,617.77,165.8300,0.85,572766206.88,ARKG|ARKK,ok
HOOD,ROBINHOOD MARKETS INC - A,NASDAQ,123.7600,63.5150,153.8600,66.68,-19.56,94.85,123.3000,0.37,556612696.80,ARKF|ARKK|ARKW,ok
TXG,10X GENOMICS INC-CLASS A,NASDAQ,81.7300,11.1600,82.5800,98.81,-1.03,632.35,79.1000,3.32,535456376.00,ARKG|ARKK,ok
AMD,ADVANCED MICRO DEVICES,NASDAQ,617.0000,154.7800,622.0000,98.93,-0.80,298.63,615.5200,0.24,524742494.88,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
NVDA,NVIDIA CORP,NASDAQ,228.8950,164.2700,236.5400,89.42,-3.23,39.34,227.3800,0.67,464454801.06,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,183.4300,106.3700,207.5200,76.18,-11.61,72.45,183.0900,0.19,463465970.04,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
AMZN,AMAZON.COM INC,NASDAQ,254.5200,196.0000,287.2000,64.17,-11.38,29.86,258.4500,-1.52,430965375.00,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
SHOP,SHOPIFY INC - CLASS A,NASDAQ,147.6200,94.0000,182.1900,60.80,-18.97,57.04,137.9200,7.03,419467543.36,ARKF|ARKK|ARKW,ok
XYZ,BLOCK INC,NYSE,77.4400,48.2100,86.9200,75.51,-10.91,60.63,77.9100,-0.60,348979146.60,ARKF|ARKK|ARKW,ok
META,META PLATFORMS INC-CLASS A,NASDAQ,749.4440,520.2600,770.6000,91.55,-2.75,44.05,741.2450,1.11,342396631.65,ARKF|ARKK|ARKW,ok
GOOG,ALPHABET INC-CL C,NASDAQ,349.0500,236.6850,404.4700,66.97,-13.70,47.47,350.8700,-0.52,333983679.51,ARKK|ARKQ|ARKW|ARKX,ok
CRWV,COREWEAVE INC-CL A,NASDAQ,85.6800,60.5500,153.2000,27.12,-44.07,41.50,85.4300,0.29,311678027.92,ARKK|ARKW,ok
CBRS,CEREBRAS SYSTEMS INC - A,NASDAQ,207.2150,160.8100,386.3400,20.58,-46.36,28.86,208.4900,-0.61,305676362.56,ARKK|ARKW,ok
BEAM,BEAM THERAPEUTICS INC,NASDAQ,25.9750,20.2300,38.2600,31.86,-32.11,28.40,25.2600,2.83,290439000.06,ARKG|ARKK,ok
BLSH,BULLISH,NYSE,40.3200,20.5500,74.9800,36.32,-46.23,96.20,40.1400,0.45,287809740.72,ARKF|ARKK|ARKW,ok
BMNR,BITMINE IMMERSION TECHNOLOGI,NYSE,28.0000,12.8000,65.6000,28.79,-57.32,118.75,28.2500,-0.88,266225909.50,ARKF|ARKK|ARKW,ok
KTOS,KRATOS DEFENSE & SECURITY,NASDAQ,46.8400,43.0900,134.0000,4.12,-65.04,8.70,48.5900,-3.60,255405269.06,ARKK|ARKQ|ARKX,ok
TER,TERADYNE INC,NASDAQ,391.8500,128.5900,487.9100,73.27,-19.69,204.73,381.5400,2.70,251052938.46,ARKK|ARKQ|ARKX,ok
AVGO,BROADCOM INC,NASDAQ,362.5200,289.9600,495.0000,35.39,-26.76,25.02,362.6600,-0.04,249349421.62,ARKK|ARKQ|ARKW,ok
