date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/16/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"276,069","$151,081,520.94",8.61%
06/16/2026,ARKW,TESLA INC,TSLA,88160R101,"329,548","$135,493,660.20",7.72%
06/16/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"982,338","$96,387,004.56",5.49%
06/16/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,775,474","$83,399,843.11",4.75%
06/16/2026,ARKW,ROKU INC,ROKU,77543R102,"565,321","$79,653,728.90",4.54%
06/16/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"665,346","$74,844,771.54",4.26%
06/16/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"179,859","$66,028,037.49",3.76%
06/16/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"257,592","$63,372,783.84",3.61%
06/16/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"582,344","$62,141,928.24",3.54%
06/16/2026,ARKW,SPACE EXPLORATION TECHN-CL A,,84615Q103,"308,636","$59,412,430.00",3.38%
06/16/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"711,190","$59,291,910.30",3.38%
06/16/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"323,314","$54,840,520.68",3.12%
06/16/2026,ARKW,BLOCK INC,XYZ,852234103,"653,131","$48,560,289.85",2.77%
06/16/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"330,142","$44,473,428.82",2.53%
06/16/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"952,031","$43,469,735.46",2.48%
06/16/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"62,097","$43,027,632.27",2.45%
06/16/2026,ARKW,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"62,528","$42,999,686.48",2.45%
06/16/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"180,836","$42,151,063.24",2.40%
06/16/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"87,892","$38,795,528.80",2.21%
06/16/2026,ARKW,BROADCOM INC,AVGO,11135F101,"94,640","$37,282,481.60",2.12%
06/16/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"146,324","$34,490,030.04",1.96%
06/16/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"57,536","$34,146,465.28",1.95%
06/16/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"129,009","$27,407,962.05",1.56%
06/16/2026,ARKW,BULLISH,BLSH,G16910120,"929,202","$26,575,177.20",1.51%
06/16/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,526,737","$26,122,470.07",1.49%
06/16/2026,ARKW,EVERPURE INC-A,P,74624M102,"331,959","$24,797,337.30",1.41%
06/16/2026,ARKW,RUBRIK INC-A,RBRK,781154109,"334,226","$23,325,632.54",1.33%
06/16/2026,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"3,145,396","$21,608,870.52",1.23%
06/16/2026,ARKW,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,"91,902","$20,037,393.06",1.14%
06/16/2026,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"663,459","$19,100,984.61",1.09%
06/16/2026,ARKW,NETFLIX INC,NFLX,64110L106,"230,709","$18,842,004.03",1.07%
06/16/2026,ARKW,FIGMA INC-CL A,FIG,316841105,"1,012,405","$18,739,616.55",1.07%
06/16/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"38,069","$18,267,409.65",1.04%
06/16/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,"720,752","$18,054,837.60",1.03%
06/16/2026,ARKW,GITLAB INC-CL A,GTLB,37637K108,"634,217","$17,954,683.27",1.02%
06/16/2026,ARKW,DOORDASH INC - A,DASH,25809K105,"94,674","$15,913,752.66",0.91%
06/16/2026,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"130,831","$14,725,029.05",0.84%
06/16/2026,ARKW,MERCADOLIBRE INC,MELI,58733R102,"8,760","$14,422,113.60",0.82%
06/16/2026,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"10,561,407","$10,561,406.88",0.60%
06/16/2026,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,"64,384","$8,946,800.64",0.51%
06/16/2026,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"805,379","$5,774,567.43",0.33%
06/16/2026,ARKW,ALPHABET INC-CL A,GOOGL,02079K305,"12,353","$4,562,580.55",0.26%
06/16/2026,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"430,307","$2,611,963.49",0.15%
06/16/2026,ARKW,BRERA HOLDINGS PLC-CL B,,G13311132,"144,292","$808,035.20",0.05%
06/16/2026,ARKW,BRERA HOLDINGS PLC WTS,,BREADUMMY,"139,569","$425,685.76",0.02%
06/16/2026,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,"3,549","$414,345.75",0.02%
