date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/29/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,490,188","$148,780,369.92",9.01%
06/29/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,210,639","$124,105,273.46",7.51%
06/29/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,334,068","$112,538,000.52",6.81%
06/29/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,060,416","$112,470,288.00",6.81%
06/29/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,016,797","$110,762,491.24",6.70%
06/29/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,736,116","$100,724,230.32",6.10%
06/29/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,120,761","$73,823,690.41",4.47%
06/29/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"478,629","$71,421,019.38",4.32%
06/29/2026,ARKG,ILLUMINA INC,ILMN,452327109,"379,060","$66,923,043.00",4.05%
06/29/2026,ARKG,NATERA INC,NTRA,632307104,"253,514","$66,397,851.74",4.02%
06/29/2026,ARKG,VERACYTE INC,VCYT,92337F107,"925,852","$56,004,787.48",3.39%
06/29/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,811,817","$52,216,565.94",3.16%
06/29/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,889,137","$48,190,805.16",2.92%
06/29/2026,ARKG,ELI LILLY & CO,LLY,532457108,"39,336","$47,522,608.32",2.88%
06/29/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,199,815","$47,421,258.30",2.87%
06/29/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"12,941,493","$45,554,055.36",2.76%
06/29/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,717,610","$41,939,552.90",2.54%
06/29/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,966,151","$41,210,524.96",2.49%
06/29/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,663,298","$38,089,524.20",2.31%
06/29/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,019,800","$34,053,828.00",2.06%
06/29/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"441,988","$30,859,602.16",1.87%
06/29/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"278,138","$22,579,242.84",1.37%
06/29/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,228,933","$22,371,055.57",1.35%
06/29/2026,ARKG,CERUS CORP,CERS,157085101,"7,142,576","$20,856,321.92",1.26%
06/29/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,710,559","$18,648,645.92",1.13%
06/29/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,511,715","$17,344,329.75",1.05%
06/29/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"635,708","$16,954,332.36",1.03%
06/29/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,884,083","$16,542,248.74",1.00%
06/29/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,753,140","$16,303,270.20",0.99%
06/29/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"122,492","$11,173,720.24",0.68%
06/29/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"659,993","$10,870,084.71",0.66%
06/29/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,685,410","$5,714,688.47",0.35%
06/29/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,693,371","$1,693,370.87",0.10%
