date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/23/2026,PRNT,SIEMENS AG-REG,SIE,5727973,"9,829","$3,042,157.32",5.21%
07/23/2026,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"142,898","$2,895,820.90",4.96%
07/23/2026,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"212,012","$2,813,399.24",4.82%
07/23/2026,PRNT,AUTODESK INC,ADSK,052769106,"13,658","$2,779,403.00",4.76%
07/23/2026,PRNT,SYNOPSYS INC,SNPS,871607107,"7,175","$2,709,351.75",4.64%
07/23/2026,PRNT,PTC INC,PTC,69370C100,"23,493","$2,657,293.23",4.55%
07/23/2026,PRNT,PROTO LABS INC,PRLB,743713109,"29,239","$2,331,225.47",3.99%
07/23/2026,PRNT,HP INC,HPQ,40434L105,"92,773","$2,328,602.30",3.99%
07/23/2026,PRNT,RENISHAW PLC,RSW,0732358,"35,149","$2,304,590.42",3.94%
07/23/2026,PRNT,STRATASYS LTD,SSYS,M85548101,"280,674","$2,304,333.54",3.94%
07/23/2026,PRNT,TITOMIC LTD,TTT,BYZ03N6,"17,295,775","$2,298,859.91",3.94%
07/23/2026,PRNT,XOMETRY INC-A,XMTR,98423F109,"23,274","$2,291,092.56",3.92%
07/23/2026,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"349,180","$2,259,194.60",3.87%
07/23/2026,PRNT,VELO3D INC,VELO,92259N302,"214,226","$2,251,515.26",3.85%
07/23/2026,PRNT,3D SYSTEMS CORP,DDD,88554D205,"839,253","$2,232,412.98",3.82%
07/23/2026,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"18,635","$2,225,539.01",3.81%
07/23/2026,PRNT,NIKON CORP,7731,6642321,"162,959","$2,209,842.10",3.78%
07/23/2026,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,491,627","$2,207,607.96",3.78%
07/23/2026,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,559,186","$2,166,819.83",3.71%
07/23/2026,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"7,039","$1,156,648.48",1.98%
07/23/2026,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"2,806","$1,130,565.46",1.94%
07/23/2026,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"3,900","$1,112,124.00",1.90%
07/23/2026,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"27,295","$1,090,379.80",1.87%
07/23/2026,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"4,352","$1,084,387.84",1.86%
07/23/2026,PRNT,GENERAL ELECTRIC,GE,369604301,"3,160","$1,078,160.40",1.85%
07/23/2026,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"185,054","$1,060,956.58",1.82%
07/23/2026,PRNT,AMETEK INC,AME,031100100,"4,194","$994,355.46",1.70%
07/23/2026,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"119,153","$981,737.63",1.68%
07/23/2026,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"5,579","$962,154.34",1.65%
07/23/2026,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"340,909","$340,909.31",0.58%
07/23/2026,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,151,"$88,736.66",0.15%
07/23/2026,PRNT,3M CO,MMM,88579Y101,519,"$88,624.44",0.15%
07/23/2026,PRNT,ATI INC,ATI,01741R102,453,"$88,602.27",0.15%
07/23/2026,PRNT,MATERION CORP,MTRN,576690101,346,"$86,728.36",0.15%
07/23/2026,PRNT,JABIL INC,JBL,466313103,254,"$80,845.66",0.14%
07/23/2026,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,923,"$78,904.55",0.14%
07/23/2026,PRNT,TORAY INDUSTRIES INC,3402,6897143,"10,838","$77,687.11",0.13%
07/23/2026,PRNT,AVIENT CORP,AVNT,05368V106,"2,048","$76,513.28",0.13%
07/23/2026,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"4,007","$76,263.72",0.13%
07/23/2026,PRNT,KENNAMETAL INC,KMT,489170100,"2,194","$76,197.62",0.13%
07/23/2026,PRNT,VOESTALPINE AG,VOE,4943402,"1,481","$75,537.95",0.13%
07/23/2026,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,201","$75,303.18",0.13%
07/23/2026,PRNT,SGL CARBON SE,SGL,4818351,"16,444","$74,771.89",0.13%
07/23/2026,PRNT,SANDVIK AB,SAND,B1VQ252,"2,004","$72,186.44",0.12%
