symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2774823,892244335.65,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1738150;ARKQ=576555;ARKW=385983;ARKX=74135
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4716634,510669963.18,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2602425;ARKQ=1035840;ARKW=526719;ARKX=551650
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1053297,507741818.85,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=51677;ARKK=440979;ARKQ=237916;ARKW=244129;ARKX=78596
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3141597,453143951.28,3,ARKF|ARKK|ARKW,ARKF=544972;ARKK=2002066;ARKW=594559
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2646710,419318265.30,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=231838;ARKK=1337168;ARKQ=548058;ARKW=353041;ARKX=176605
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8512603,397538560.10,2,ARKG|ARKK,ARKG=2323352;ARKK=6189251
AMZN,NASDAQ,023135106,AMAZON.COM INC,1445715,394174194.75,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=117160;ARKK=642364;ARKQ=270041;ARKW=273898;ARKX=142252
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7514421,394131381.45,2,ARKG|ARKK,ARKG=2034486;ARKK=5479935
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3346305,384858538.05,2,ARKG|ARKK,ARKG=1317231;ARKK=2029074
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2265304,339546416.56,3,ARKF|ARKK|ARKW,ARKF=256234;ARKK=1621547;ARKW=387523
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3613518,335334470.40,3,ARKF|ARKK|ARKW,ARKF=433692;ARKK=2333218;ARKW=846608
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,5217827,330184092.56,3,ARKF|ARKK|ARKW,ARKF=558380;ARKK=3675192;ARKW=984255
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,6695116,317750205.36,2,ARKG|ARKK,ARKG=3087261;ARKK=3607855
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,873507,314576075.91,4,ARKK|ARKQ|ARKW|ARKX,ARKK=331914;ARKQ=265707;ARKW=183156;ARKX=92730
NVDA,NASDAQ,67066G104,NVIDIA CORP,1272876,279039876.72,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=94218;ARKK=580162;ARKQ=312411;ARKW=152006;ARKX=134079
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4692797,259699385.98,3,ARKK|ARKQ|ARKX,ARKK=1387623;ARKQ=2292084;ARKX=1013090
CRWV,NASDAQ,21873S108,COREWEAVE INC-CL A,2726819,245113759.91,2,ARKK|ARKW,ARKK=1970241;ARKW=756578
XYZ,NYSE,852234103,BLOCK INC,2744349,231074185.80,3,ARKF|ARKK|ARKW,ARKF=572373;ARKK=1458807;ARKW=713169
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,8370380,226586186.60,2,ARKG|ARKK,ARKG=2299088;ARKK=6071292
TER,NASDAQ,880770102,TERADYNE INC,559744,217958716.16,3,ARKK|ARKQ|ARKX,ARKK=145770;ARKQ=332231;ARKX=81743
TSM,NYSE,874039100,TAIWAN SEMICONDUCTOR-SP ADR,446622,184901508.00,4,ARKK|ARKQ|ARKW|ARKX,ARKK=154851;ARKQ=164491;ARKW=93341;ARKX=33939
META,NASDAQ,30303M102,META PLATFORMS INC-CLASS A,281251,165592151.27,3,ARKF|ARKK|ARKW,ARKF=44083;ARKK=155624;ARKW=81544
DE,NYSE,244199105,DEERE & CO,258926,158462712.00,3,ARKK|ARKQ|ARKX,ARKK=90939;ARKQ=100093;ARKX=67894
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,4215752,152568064.88,3,ARKF|ARKK|ARKW,ARKF=379082;ARKK=3008332;ARKW=828338
ILMN,NASDAQ,452327109,ILLUMINA INC,752739,150449943.93,2,ARKG|ARKK,ARKG=358911;ARKK=393828
AVGO,NASDAQ,11135F101,BROADCOM INC,352718,147534885.04,3,ARKK|ARKQ|ARKW,ARKK=177438;ARKQ=81438;ARKW=93842
ACHR,NYSE,03945R102,ARCHER AVIATION INC-A,28266355,146985046.00,3,ARKK|ARKQ|ARKX,ARKK=14036390;ARKQ=9127974;ARKX=5101991
CBRS,NASDAQ,15675D103,CEREBRAS SYSTEMS INC - A,681251,145992089.30,2,ARKK|ARKW,ARKK=528878;ARKW=152373
BLSH,NYSE,G16910120,BULLISH,5907348,140831176.32,3,ARKF|ARKK|ARKW,ARKF=745851;ARKK=4173275;ARKW=988222
BMNR,NYSE,09175A206,BITMINE IMMERSION TECHNOLOGI,7612286,140294430.98,3,ARKF|ARKK|ARKW,ARKF=734466;ARKK=5363965;ARKW=1513855
NTLA,NASDAQ,45826J105,INTELLIA THERAPEUTICS INC,12467399,136767367.03,2,ARKG|ARKK,ARKG=2643990;ARKK=9823409
NTRA,NASDAQ,632307104,NATERA INC,475218,130504367.16,2,ARKG|ARKK,ARKG=239551;ARKK=235667
XE,NASDAQ,98386P102,X-ENERGY INC,6723618,128084922.90,3,ARKK|ARKQ|ARKX,ARKK=4589391;ARKQ=1516807;ARKX=617420
LHX,NYSE,502431109,L3HARRIS TECHNOLOGIES INC,431242,123386961.04,3,ARKQ|ARKX|PRNT,ARKQ=221151;ARKX=206269;PRNT=3822
RKLB,NASDAQ,773121108,ROCKET LAB,1580197,118230339.54,2,ARKQ|ARKX,ARKQ=992603;ARKX=587594
LLY,NYSE,532457108,ELI LILLY & CO,91726,107306578.36,2,ARKG|ARKK,ARKG=63346;ARKK=28380
RXRX,NASDAQ,75629V104,RECURSION PHARMACEUTICALS-A,33834755,107256173.35,2,ARKG|ARKK,ARKG=13605107;ARKK=20229648
WGS,NASDAQ,81663L200,GENEDX HOLDINGS CORP,1451000,101439410.00,2,ARKG|ARKK,ARKG=487158;ARKK=963842
AVAV,NASDAQ,008073108,AEROVIRONMENT INC,566521,95209519.26,2,ARKQ|ARKX,ARKQ=336093;ARKX=230428
BWXT,NYSE,05605H100,BWX TECHNOLOGIES INC,544117,91564008.76,3,ARKK|ARKQ|ARKX,ARKK=289710;ARKQ=181317;ARKX=73090
PSNL,NASDAQ,71535D106,PERSONALIS INC,6717124,90815516.48,1,ARKG,ARKG=6717124
VCYT,NASDAQ,92337F107,VERACYTE INC,1878703,86702143.45,2,ARKG|ARKK,ARKG=854000;ARKK=1024703
ABSI,NASDAQ,00091E109,ABSCI CORP,10262397,86204134.80,1,ARKG,ARKG=10262397
DASH,NASDAQ,25809K105,DOORDASH INC - A,379137,78583725.99,4,ARKF|ARKQ|ARKW|ARKX,ARKF=56481;ARKQ=151940;ARKW=93876;ARKX=76840
GH,NASDAQ,40131M109,GUARDANT HEALTH INC,454757,74207247.26,1,ARKG,ARKG=454757
CDNA,NASDAQ,14167L103,CAREDX INC,1527785,69514217.50,1,ARKG,ARKG=1527785
TRMB,NASDAQ,896239100,TRIMBLE INC,1131924,66308107.92,2,ARKQ|ARKX,ARKQ=683460;ARKX=448464
TOST,NYSE,888787108,TOAST INC-CLASS A,1827909,63611233.20,2,ARKF|ARKW,ARKF=1113239;ARKW=714670
SOFI,NASDAQ,83406F102,SOFI TECHNOLOGIES INC,3365377,61418130.25,2,ARKF|ARKK,ARKF=1137249;ARKK=2228128
CMPS,NASDAQ,20451W101,COMPASS PATHWAYS PLC,4452813,60469200.54,1,ARKG,ARKG=4452813
CRWD,NASDAQ,22788C105,CROWDSTRIKE HOLDINGS INC - A,287505,60335799.30,2,ARKF|ARKW,ARKF=79132;ARKW=208373
SNOW,NYSE,833445109,SNOWFLAKE INC,173841,55079782.44,2,ARKK|ARKW,ARKK=103224;ARKW=70617
LUNR,NASDAQ,46125A100,INTUITIVE MACHINES INC,3443842,48179349.58,2,ARKQ|ARKX,ARKQ=2384252;ARKX=1059590
DDOG,NASDAQ,23804L103,DATADOG INC - CLASS A,157347,44555949.99,1,ARKW,ARKW=157347
JOBY,NYSE,G65163100,JOBY AVIATION INC,5623869,43866178.20,2,ARKQ|ARKX,ARKQ=3319174;ARKX=2304695
ADPT,NASDAQ,00650F109,ADAPTIVE BIOTECHNOLOGIES,1770358,43550806.80,1,ARKG,ARKG=1770358
NRIX,NASDAQ,67080M103,NURIX THERAPEUTICS INC,1677886,42148496.32,1,ARKG,ARKG=1677886
MELI,NASDAQ,58733R102,MERCADOLIBRE INC,21684,41689007.88,2,ARKF|ARKW,ARKF=12996;ARKW=8688
ESLT,NASDAQ,M3760D101,ELBIT SYSTEMS LTD,48028,41508679.28,2,ARKQ|ARKX,ARKQ=33454;ARKX=14574
