trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-07-30,2026-07-30,2026-07-31,ARKF,new,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,0,349495,0,349495,,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKK,buy,META,META PLATFORMS INC-CLASS A,30303M102,141161,156911,140803,16108,11.44,0.997466
2026-07-30,2026-07-30,2026-07-31,ARKQ,buy,LHX,L3HARRIS TECHNOLOGIES INC,502431109,203241,223224,202614,20610,10.17,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKX,buy,LHX,L3HARRIS TECHNOLOGIES INC,502431109,192149,209174,192149,17025,8.86,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKW,buy,META,META PLATFORMS INC-CLASS A,30303M102,74521,81890,74207,7683,10.35,0.995782
2026-07-30,2026-07-30,2026-07-31,ARKW,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,655329,3588083,652565,2935518,449.84,0.995782
2026-07-30,2026-07-30,2026-07-31,ARKF,buy,META,META PLATFORMS INC-CLASS A,30303M102,41983,44703,41983,2720,6.48,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,2070341,2945710,2032657,913053,44.92,0.981798
2026-07-30,2026-07-30,2026-07-31,IZRL,buy,SVRE,SAVERONE 2014 LTD -ADR,80516T600,508714,517190,508714,8476,1.67,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,13701180,7237645,13658903,-6421258,-47.01,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKW,sell,DDOG,DATADOG INC - CLASS A,23804L103,174070,158016,173336,-15320,-8.84,0.995782
2026-07-30,2026-07-30,2026-07-31,ARKQ,sell,KMTUY,KOMATSU LTD -SPONS ADR,500458401,887287,835419,884549,-49130,-5.55,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKX,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,2600828,876249,2600828,-1724579,-66.31,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKF,sell,ROKU,ROKU INC,77543R102,13479,3554,13479,-9925,-73.63,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKX,sell,GRMN UN,GARMIN LTD,B3Z5T14,49495,45621,49495,-3874,-7.83,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,243339,35664,242588,-206924,-85.30,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKQ,sell,TDY,TELEDYNE TECHNOLOGIES INC,879360105,10036,8582,10005,-1423,-14.22,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKQ,sell,ESLT,ELBIT SYSTEMS LTD,M3760D101,36443,35157,36331,-1174,-3.23,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKQ,sell,CAT,CATERPILLAR INC,149123101,42170,40904,42040,-1136,-2.70,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKX,sell,TDY,TELEDYNE TECHNOLOGIES INC,879360105,16827,15653,16827,-1174,-6.98,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKX,sell,HEI,HEICO CORP,422806109,43590,41440,43590,-2150,-4.93,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKX,sell,ESLT,ELBIT SYSTEMS LTD,M3760D101,16904,15936,16904,-968,-5.73,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKX,sell,DE,DEERE & CO,244199105,71531,70275,71531,-1256,-1.76,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,156346,15256,156346,-141090,-90.24,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,17707883,17020070,17663019,-642949,-3.64,0.997466
2026-07-30,2026-07-30,2026-07-31,ARKK,sell,BMNR,BITMINE IMMERSION TECHNOLOGI,09175A206,5456021,5408633,5442198,-33565,-0.62,0.997466
2026-07-30,2026-07-30,2026-07-31,ARKK,sell,FIG,FIGMA INC-CL A,316841105,3126,96,3118,-3022,-96.92,0.997466
2026-07-30,2026-07-30,2026-07-31,IZRL,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,413796,351154,413796,-62642,-15.14,1.000000
2026-07-30,2026-07-30,2026-07-31,ARKQ,sell,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,1536,396,1531,-1135,-74.14,0.996914
2026-07-30,2026-07-30,2026-07-31,ARKK,sell,,BRERA HOLDINGS PLC-CL B,G13311132,334199,326898,333352,-6454,-1.94,0.997466
2026-07-30,2026-07-30,2026-07-31,ARKW,sell,,BRERA HOLDINGS PLC-CL B,G13311132,132326,129436,131768,-2332,-1.77,0.995782
2026-07-30,2026-07-30,2026-07-31,ARKF,sell,,BRERA HOLDINGS PLC-CL B,G13311132,83749,81920,83749,-1829,-2.18,1.000000
