trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-08-11,2026-08-11,2026-08-12,ARKK,new,RKLB UQ,ROCKET LAB,773121108,equity,0,200987,0,200987,,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKQ,buy,RKLB UQ,ROCKET LAB,773121108,equity,986401,1048085,983300,64785,6.59,0.996856
2026-08-11,2026-08-11,2026-08-12,ARKX,buy,RKLB UQ,ROCKET LAB,773121108,equity,587594,614695,587594,27101,4.61,1.000000
2026-08-11,2026-08-11,2026-08-12,ARKK,buy,NET,CLOUDFLARE INC - CLASS A,18915M107,equity,161069,166445,160350,6095,3.80,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,2943332,4535887,2928413,1607474,54.89,0.994931
2026-08-11,2026-08-11,2026-08-12,ARKK,buy,NTLA,INTELLIA THERAPEUTICS INC,45826J105,equity,10174366,10205899,10128941,76958,0.76,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKK,buy,CERS,CERUS CORP,157085101,equity,8372720,8530893,8335339,195554,2.35,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKF,buy,NET,CLOUDFLARE INC - CLASS A,18915M107,equity,11351,12822,11351,1471,12.96,1.000000
2026-08-11,2026-08-11,2026-08-12,ARKF,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,558154,947323,558154,389169,69.72,1.000000
2026-08-11,2026-08-11,2026-08-12,ARKG,buy,SDGR,SCHRODINGER INC,80810D103,equity,2076083,2081619,2065560,16059,0.78,0.994931
2026-08-11,2026-08-11,2026-08-12,ARKG,buy,NTLA,INTELLIA THERAPEUTICS INC,45826J105,equity,2680791,2688520,2667202,21318,0.80,0.994931
2026-08-11,2026-08-11,2026-08-12,ARKG,buy,CERS,CERUS CORP,157085101,equity,7082433,7106706,7046533,60173,0.85,0.994931
2026-08-11,2026-08-11,2026-08-12,ARKW,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,1757133,1838518,1757133,81385,4.63,1.000000
2026-08-11,2026-08-11,2026-08-12,IZRL,buy,SVRE,SAVERONE 2014 LTD -ADR,80516T600,equity,575895,596213,575895,20318,3.53,1.000000
2026-08-11,2026-08-11,2026-08-12,ARKK,sell,DE,DEERE & CO,244199105,equity,34964,4950,34808,-29858,-85.78,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,10988957,2880794,10939896,-8059102,-73.67,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKQ,sell,CAT,CATERPILLAR INC,149123101,equity,38681,32539,38559,-6020,-15.61,0.996856
2026-08-11,2026-08-11,2026-08-12,ARKK,sell,SHOP,SHOPIFY INC - CLASS A,82509L107,equity,1928591,1891085,1919981,-28896,-1.50,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,3012470,422295,3002999,-2580704,-85.94,0.996856
2026-08-11,2026-08-11,2026-08-12,ARKQ,sell,DE,DEERE & CO,244199105,equity,95334,92469,95034,-2565,-2.70,0.996856
2026-08-11,2026-08-11,2026-08-12,ARKK,sell,TXG,10X GENOMICS INC-CLASS A,88025U109,equity,3514723,3479057,3499031,-19974,-0.57,0.995535
2026-08-11,2026-08-11,2026-08-12,ARKX,sell,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,equity,178612,161396,178612,-17216,-9.64,1.000000
2026-08-11,2026-08-11,2026-08-12,ARKK,sell,SNOW,SNOWFLAKE INC,833445109,equity,1949,94,1940,-1846,-95.16,0.995535
2026-08-11,2026-08-11,2026-08-12,IZRL,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,99235,36087,99235,-63148,-63.63,1.000000
2026-08-11,2026-08-11,2026-08-12,ARKW,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,121242,120503,121242,-739,-0.61,1.000000
2026-08-11,2026-08-11,2026-08-12,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,equity,490,49,488,-439,-89.97,0.996856
2026-08-11,2026-08-11,2026-08-12,ARKF,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,76735,76267,76735,-468,-0.61,1.000000
